1,Physics & Philosophy,Test Author,
2,Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing
3,Data Smart,"Foreman, John",data_science
4,God Created the Integers,"Hawking, Stephen",mathematics
5,Superfreakonomics,"Dubner, Stephen",economics
6,Orientalism,"Said, Edward",history
7,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science
8,Integration of the Indian States,"Menon, V P",history
9,"Drunkard's Walk, The","Mlodinow, Leonard",science
10,Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing
11,How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology
12,Data Scientists at Work,Sebastian Gutierrez,data_science
13,Slaughterhouse Five,"Vonnegut, Kurt",fiction
14,Birth of a Theorem,"Villani, Cedric",mathematics
15,Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science
16,"Age of Wrath, The","Eraly, Abraham",history
17,"Trial, The","Kafka, Frank",fiction
18,Statistical Decision Theory',"Pratt, John",data_science
19,Data Mining Handbook,"Nisbet, Robert",data_science
20,"New Machiavelli, The","Wells, H. G.",fiction
21,Physics & Philosophy,"Heisenberg, Werner",science
22,Making Software,"Oram, Andy",computer_science
23,"Analysis, Vol I","Tao, Terence",mathematics
24,Machine Learning for Hackers,"Conway, Drew",data_science
25,"Signal and the Noise, The","Silver, Nate",data_science
26,Python for Data Analysis,"McKinney, Wes",data_science
27,Introduction to Algorithms,"Cormen, Thomas",computer_science
28,"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction
29,"Outsider, The","Camus, Albert",fiction
30,"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction
31,"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction
32,"Wealth of Nations, The","Smith, Adam",economics
33,"Pillars of the Earth, The","Follett, Ken",fiction
34,Mein Kampf,"Hitler, Adolf",nonfiction
35,"Tao of Physics, The","Capra, Fritjof",science
36,Surely You're Joking Mr Feynman,"Feynman, Richard",science
37,"Farewell to Arms, A","Hemingway, Ernest",fiction
38,"Veteran, The","Forsyth, Frederick",fiction
39,False Impressions,"Archer, Jeffery",fiction
40,"Last Lecture, The","Pausch, Randy",nonfiction
41,Return of the Primitive,"Rand, Ayn",philosophy
42,Jurassic Park,"Crichton, Michael",fiction
43,"Russian Journal, A","Steinbeck, John",nonfiction
44,Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction
45,Freakonomics,"Dubner, Stephen",economics
46,"Hidden Connections, The","Capra, Fritjof",science
47,"Story of Philosophy, The","Durant, Will",philosophy
48,Asami Asami,"Deshpande, P L",fiction
49,Journal of a Novel,"Steinbeck, John",fiction
50,Once There Was a War,"Steinbeck, John",nonfiction
51,"Moon is Down, The","Steinbeck, John",fiction
52,"Brethren, The","Grisham, John",fiction
53,In a Free State,"Naipaul, V. S.",fiction
54,Catch 22,"Heller, Joseph",fiction
55,"Complete Mastermind, The",BBC,nonfiction
56,Dylan on Dylan,"Dylan, Bob",nonfiction
57,Soft Computing & Intelligent Systems,"Gupta, Madan",data_science
58,Textbook of Economic Theory,"Stonier, Alfred",economics
59,Econometric Analysis,"Greene, W. H.",economics
60,Learning OpenCV,"Bradsky, Gary",data_science
61,Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science
62,"Computer Vision, A Modern Approach","Forsyth, David",data_science
63,Principles of Communication Systems,"Taub, Schilling",computer_science
64,Let Us C,"Kanetkar, Yashwant",computer_science
65,"Amulet of Samarkand, The","Stroud, Jonathan",fiction
66,Crime and Punishment,"Dostoevsky, Fyodor",fiction
67,Angels & Demons,"Brown, Dan",fiction
68,"Argumentative Indian, The","Sen, Amartya",nonfiction
69,Sea of Poppies,"Ghosh, Amitav",fiction
70,"Idea of Justice, The","Sen, Amartya",nonfiction
71,"Raisin in the Sun, A","Hansberry, Lorraine",fiction
72,All the President's Men,"Woodward, Bob",history
73,"Prisoner of Birth, A","Archer, Jeffery",fiction
74,Scoop!,"Nayar, Kuldip",history
75,Ahe Manohar Tari,"Deshpande, Sunita",nonfiction
76,"Last Mughal, The","Dalrymple, William",history
77,"Social Choice & Welfare, Vol 39 No. 1",Various,economics
78,Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction
79,Gun Gayin Awadi,"Deshpande, P L",nonfiction
80,Aghal Paghal,"Deshpande, P L",nonfiction
81,Maqta-e-Ghalib,"Garg, Sanjay",fiction
82,Beyond Degrees,,nonfiction
83,Manasa,"Kale, V P",nonfiction
84,India from Midnight to Milennium,"Tharoor, Shashi",history
85,"World's Greatest Trials, The",,
86,"Great Indian Novel, The","Tharoor, Shashi",fiction
87,O Jerusalem!,"Lapierre, Dominique",history
88,"City of Joy, The","Lapierre, Dominique",fiction
89,Freedom at Midnight,"Lapierre, Dominique",history
90,"Winter of Our Discontent, The","Steinbeck, John",fiction
91,On Education,"Russell, Bertrand",philosophy
92,Free Will,"Harris, Sam",philosophy
93,Bookless in Baghdad,"Tharoor, Shashi",nonfiction
94,"Case of the Lame Canary, The","Gardner, Earle Stanley",
95,"Theory of Everything, The","Hawking, Stephen",science
96,New Markets & Other Essays,"Drucker, Peter",economics
97,Electric Universe,"Bodanis, David",science
98,"Hunchback of Notre Dame, The","Hugo, Victor",fiction
99,Burning Bright,"Steinbeck, John",fiction
100,"Age of Discontuinity, The","Drucker, Peter",economics
101,Doctor in the Nude,"Gordon, Richard",fiction
102,Down and Out in Paris & London,"Orwell, George",nonfiction
103,Identity & Violence,"Sen, Amartya",philosophy
104,Beyond the Three Seas,"Dalrymple, William",history
105,"World's Greatest Short Stories, The",,fiction
106,Talking Straight,"Iacoca, Lee",
